2016-03-04 00:36:44,364 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457023004, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*wechat*qq, token=3D0F4F1333A385732F67F6F91D31EC4B25529, clientver=android, openid=594031754, payamt_coins=0, billno=-QKTDJ-20160304-0036326125, sig=nawzuN/IR0DvZmf8jWmlmARfe+Y=}
2016-03-04 00:46:26,506 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457023586, payitem=memberT1T0T0T*200.0*1, zoneid=0, appid=1450000627, version=v3, amt=2000, providetype=0, token=C7CD0AC3DF595B04A94941700E46A00210333, openid=2658284728, payamt_coins=0, billno=-QKTDJ-20160304-0046072068, sig=3JAsk1LiMzWbT3z3GAleb0hOTr0=}
2016-03-03 19:03:24,077 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457003004, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*bank*qq, token=598FA104A4C48E9137691B2C16DA4C4A23824, clientver=android, openid=545527148, payamt_coins=0, billno=-QKTDJ-20160303-1903181471, sig=dXoUN7lGkPYWb2k3S1Pxm4tsO6k=}
2016-03-03 19:03:32,160 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457003012, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*wechat*qq, token=6E27D4ECD9048DF2DE9F7384346481BB20274, clientver=android, openid=751330987, payamt_coins=0, billno=-QKTDJ-20160303-1903218770, sig=q1ieSn+9NbpKjRkIXEKUg+t6Ta8=}
2016-03-03 19:03:36,103 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457003016, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*wechat*qq, token=35CEA1D381DCAC78F3E0C99A7B2CD67322862, clientver=android, openid=673818187, payamt_coins=0, billno=-QKTDJ-20160303-1903287404, sig=6ZJ6MIcNx9fDmnu7/WRvNyeVaEU=}
2016-03-03 19:04:41,423 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457003081, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*bank*qq, token=A5E6DF20B11CFEDA48DDB23E29722AC922266, clientver=android, openid=78017882, payamt_coins=0, billno=-QKTDJ-20160303-1904309060, sig=NWJw9FjHA5+FwufRAMHgme00E80=}
2016-03-03 19:05:54,963 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457003155, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*bank*qq, token=DC0AFE0EDB288D4D838E175F3DA3446121008, clientver=android, openid=1837667463, payamt_coins=0, billno=-QKTDJ-20160303-1905495826, sig=E5uQS7IZ559PT/f1zpEBUIL78sY=}
2016-03-03 19:06:14,428 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457003174, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*wechat*qq, token=A4164D79917E350C74774A07B58F96A715187, clientver=android, openid=392767560, payamt_coins=0, billno=-QKTDJ-20160303-1906054917, sig=Jb+HCS9VF2FQYbsnTtIdzICVaSM=}
2016-03-03 19:07:05,089 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457003225, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*wechat*qq, token=8A6B80186DA622EA6D70E2400755992822862, clientver=android, openid=543612237, payamt_coins=0, billno=-QKTDJ-20160303-1906530528, sig=bzi/Rnv8Tsy6rafxPz3cqJn8xMU=}
2016-03-03 19:07:11,147 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457003231, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*bank*qq, token=6F651E8B9871F36C401459F6F731747401529, clientver=android, openid=329632957, payamt_coins=0, billno=-QKTDJ-20160303-1906512071, sig=j0rFhVgLRfShdrS4oPer7VX00zs=}
2016-03-03 19:07:38,493 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457003258, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*bank*qq, token=5409BA4AC1F4A2A022AA8DF2FA96D40920164, clientver=android, openid=346160101, payamt_coins=0, billno=-QKTDJ-20160303-1907338318, sig=3aSd73BLnBVw9yzRjA0Ckto3S1I=}
2016-03-03 19:07:41,213 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457003261, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*wechat*qq, token=C9F4CDCBB6978CC20A5AE21A02E122F419753, clientver=android, openid=867659961, payamt_coins=0, billno=-QKTDJ-20160303-1907350211, sig=Ig5xK1wwBXOG0KGLvZ6uodHJYiA=}
2016-03-03 19:08:23,547 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457003303, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*bank*qq, token=815BE7E3A2B5AF4E0F7B012234D2CF9415188, clientver=android, openid=707139158, payamt_coins=0, billno=-QKTDJ-20160303-1908168129, sig=+Y43doMKJ3p45ZJ88xcmfHPP0PM=}
2016-03-03 19:08:28,217 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457003308, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*wechat*qq, token=DADC23F9DE2857BFB1CC8EE84F866C3810685, clientver=android, openid=2921643023, payamt_coins=0, billno=-QKTDJ-20160303-1908162105, sig=2lVo2310G8RFMrJDDUV9YATIArE=}
2016-03-03 19:09:11,112 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457003351, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*wechat*qq, token=EACF8D2C9299231445B6193011825C1D13742, clientver=android, openid=303924184, payamt_coins=0, billno=-QKTDJ-20160303-1909018453, sig=X3gyF6xEMfI5RE3bB22QoeIAH0k=}
2016-03-03 19:10:34,380 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457003434, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*wechat*qq, token=FEDC03A606DC6140D6D9F8E1621EF40124286, clientver=android, openid=1737122037, payamt_coins=0, billno=-QKTDJ-20160303-1910292159, sig=w3fHQiw6CWA6+ELQh1ViYqy4Ekg=}
2016-03-03 19:10:38,090 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457003438, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*wechat*qq, token=C7D3A3EF4E54D2EE416BB08925B8556710685, clientver=android, openid=405817287, payamt_coins=0, billno=-QKTDJ-20160303-1910255320, sig=hkz5bIGDT8WuvgLjOAF6J6eeRHU=}
2016-03-03 19:12:07,014 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457003527, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*wechat*qq, token=FA473B043F45ECFFA9D174BBCBABCB0C22266, clientver=android, openid=1034547613, payamt_coins=0, billno=-QKTDJ-20160303-1911348581, sig=sfksA5TZpGdluvWx0/w4mmnuKdc=}
2016-03-03 19:12:18,094 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457003538, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*bank*qq, token=6890DFB57F1C8B89D1B48A17D6BC976513743, clientver=android, openid=179316160, payamt_coins=0, billno=-QKTDJ-20160303-1912040771, sig=jbIh3ZQXP/4pxxpd7XMhleODoms=}
2016-03-03 19:12:43,783 [ERROR]DeliveryExecutor(213) callback inputx: {pubacct_payamt_coins=, ts=1457003563, zoneid=0, payitem=memberT1T0T0T*200.0*1, appid=1450000627, version=v3, amt=2000, providetype=5, appmeta=*wechat*qq, token=5BEC16E64B2B4DD2B9AA66C173D5890822862, clientver=android, openid=2108270255, payamt_coins=0, billno=-QKTDJ-20160303-1912341716, sig=ZXz25bEo92Y8vcQ5d9nI0qoxvYg=}
